23 Jun 2016 22:53:24 : Cipher , Calamariela#4119 , He will be mad jealous
23 Jun 2016 22:53:28 : Cipher , Nalk Xulk Uk Eht#7098 , <@!134441036905840640> we are what tho
23 Jun 2016 22:53:43 : Cipher , Wertfuzzy77#0274 , next time you log on, i will tp everyone to you and tell them all to ./kiss u <@183307266475294721>
23 Jun 2016 22:53:46 : Cipher , Nalk Xulk Uk Eht#7098 , <@183307266475294721> dump him and cum with me babe
23 Jun 2016 22:53:53 : Cipher , Wertfuzzy77#0274 , did it once to User, and paid everyone $10 IG to do it
23 Jun 2016 22:53:56 : Cipher , Calamariela#4119 , Pls wert xD
23 Jun 2016 22:53:58 : Cipher , Wertfuzzy77#0274 , got like 30 people
23 Jun 2016 22:54:03 : Cipher , Wertfuzzy77#0274 , was amazing
23 Jun 2016 22:54:12 : Cipher , Nalk Xulk Uk Eht#7098 , lelel
23 Jun 2016 22:54:12 : Cipher , Calamariela#4119 , There will be a fight tonight
23 Jun 2016 22:54:18 : Cipher , Nalk Xulk Uk Eht#7098 , yes there will
23 Jun 2016 22:54:23 : Cipher , Wertfuzzy77#0274 , Donnie just jelly
23 Jun 2016 22:54:37 : Cipher , Calamariela#4119 , Stop flirting with your bfs lol
23 Jun 2016 22:55:23 : Cipher , Nalk Xulk Uk Eht#7098 , so you get jealouse when he talks to me?
23 Jun 2016 22:55:24 : Cipher , Nalk Xulk Uk Eht#7098 , rude
23 Jun 2016 22:55:27 : Cipher , Nalk Xulk Uk Eht#7098 , kys
23 Jun 2016 22:55:28 : Cipher , Wertfuzzy77#0274 , lol
23 Jun 2016 22:55:32 : Cipher , Wertfuzzy77#0274 , !kys
23 Jun 2016 22:55:32 : Cipher , Botfuzzy77#2926 , Hey Mean!
23 Jun 2016 22:55:35 : Cipher , Wertfuzzy77#0274 , bet <@167123959031005186>
23 Jun 2016 22:55:36 : Cipher , Botfuzzy77#2926 , Wut
23 Jun 2016 22:55:39 : Cipher , Wertfuzzy77#0274 , go home
23 Jun 2016 22:55:48 : Cipher , Calamariela#4119 , XD girls only
23 Jun 2016 22:55:57 : Cipher , Wertfuzzy77#0274 , so... roy <@183307266475294721>
23 Jun 2016 22:55:58 : Cipher , Nalk Xulk Uk Eht#7098 , bet
23 Jun 2016 22:56:01 : Cipher , Wertfuzzy77#0274 , NEVER <@!151163520120127488>
23 Jun 2016 22:56:07 : Cipher , Wertfuzzy77#0274 , i kms first
23 Jun 2016 22:56:20 : Cipher , Wertfuzzy77#0274 , <@!180158716895690752>  you do it, i ban
23 Jun 2016 22:56:44 : Cipher , Calamariela#4119 , Lol I hated depthy until I found out she was with jay.....lol oh :3
23 Jun 2016 22:56:48 : Cipher , Nalk Xulk Uk Eht#7098 , lel i bet what ver you want that he wouldn't even do it
23 Jun 2016 22:57:00 : Cipher , Wertfuzzy77#0274 , depthy actually really nice
23 Jun 2016 22:57:16 : Cipher , Nalk Xulk Uk Eht#7098 , i hated you... untill i found out, oh i never found out anything so i still hate you <@183307266475294721>
23 Jun 2016 22:57:21 : Cipher , Wertfuzzy77#0274 , mean
23 Jun 2016 22:57:27 : Cipher , Calamariela#4119 , Lol ofc to you wert xD
23 Jun 2016 22:57:42 : Cipher , Wertfuzzy77#0274 , everyone except Jay nice to me
23 Jun 2016 22:57:44 : Cipher , Calamariela#4119 , Lol love you too roy...
23 Jun 2016 22:57:45 : Cipher , Wertfuzzy77#0274 , jay hate me
23 Jun 2016 22:57:54 : Cipher , Nalk Xulk Uk Eht#7098 , jay hate me too
23 Jun 2016 22:57:58 : Cipher , Wertfuzzy77#0274 , blames me for everything :/
23 Jun 2016 22:58:11 : Cipher , Calamariela#4119 , Jay is like who is that to me :3
23 Jun 2016 22:58:20 : Cipher , Wertfuzzy77#0274 , "oops server broke, its Wert's Building in the End"
23 Jun 2016 22:58:22 : Cipher , Nalk Xulk Uk Eht#7098 , you have like 99% of the fault of everything that happens on the server <@!134441036905840640>
23 Jun 2016 22:58:23 : Cipher , Wertfuzzy77#0274 , wow thx jay
23 Jun 2016 22:58:26 : Cipher , Calamariela#4119 , Lol jay is crazy
23 Jun 2016 22:58:46 : Cipher , Nalk Xulk Uk Eht#7098 , hai babe <@!180158716895690752>
23 Jun 2016 22:58:52 : Cipher , Wertfuzzy77#0274 , also am on the server like 99x more than rest of staff
23 Jun 2016 22:58:58 : Cipher , Wertfuzzy77#0274 , so...
23 Jun 2016 22:58:59 : Cipher , Nalk Xulk Uk Eht#7098 , lel you are
23 Jun 2016 22:59:31 : Cipher , Wertfuzzy77#0274 , or build
23 Jun 2016 22:59:32 : Cipher , Nalk Xulk Uk Eht#7098 , bet
