19 Jul 2016 16:48:45 : Cipher , Botfuzzy77#2209 , I don't know.
19 Jul 2016 16:49:01 : Cipher , Allianths#4161 , ;clever fair enough
19 Jul 2016 16:49:01 : Cipher , Botfuzzy77#2209 , What do you think about creationism?
19 Jul 2016 16:49:19 : Cipher , Allianths#4161 , ;clever i have no comment
19 Jul 2016 16:49:19 : Cipher , Botfuzzy77#2209 , Aah, but by saying that, you in effect have a comment.
19 Jul 2016 16:49:46 : Cipher , Allianths#4161 , ;clever touche
19 Jul 2016 16:49:46 : Cipher , Botfuzzy77#2209 , I don't know, I'm vegan, so I don't like neurobiology.
19 Jul 2016 16:59:11 : League Of Legends , Botfuzzy77#2209 , **RoyGasm**(Officer) is now Online!
19 Jul 2016 16:59:11 : Cipher , Botfuzzy77#2209 , **RoyGasm**(Roy, The One and Only) is now Online!
19 Jul 2016 17:00:28 : 02Gaming , Botfuzzy77#2209 , **Wu Tang**(Member) is now Online!
19 Jul 2016 17:09:17 : Cipher , RoyGasm#7098 , yeah, <@!134441036905840640> about that online thing
19 Jul 2016 17:09:17 : Cipher , Botfuzzy77#2209 , Wertfuzzy77 is afk for reason:
**gardening apparently**
19 Jul 2016 17:09:24 : Cipher , RoyGasm#7098 , it has to stop on league of legends
19 Jul 2016 17:09:31 : Cipher , RoyGasm#7098 , i had to mute your bot
19 Jul 2016 17:09:33 : Cipher , RoyGasm#7098 , :/
19 Jul 2016 17:10:50 : The Pleb Privateers , Alex#8560 , <@!126122455248011265> what time does blizzard update there games?
19 Jul 2016 17:11:01 : The Pleb Privateers , enragednuke#2565 , usually overnight
19 Jul 2016 17:11:10 : The Pleb Privateers , enragednuke#2565 , wow is already updated for example
19 Jul 2016 17:11:34 : The Pleb Privateers , Alex#8560 , thank you senpai
19 Jul 2016 17:14:32 : Cipher , Botfuzzy77#2209 , **PacMen**(Grunt) is now Online!
19 Jul 2016 17:14:35 : Cipher , Botfuzzy77#2209 , **PacMen**(Grunt) is now Online!
19 Jul 2016 17:29:56 : 02Gaming , Wu Tang#7652 , ;kys
19 Jul 2016 17:29:56 : 02Gaming , Botfuzzy77#2209 , Sure, just gimme some bleach
