10 Jul 2016 02:31:49 : Cipher , RoyGasm ;)#7098 , ADDED TO MY PLAYLIST CAUSE I LIKE
10 Jul 2016 02:31:51 : The Pleb Privateers , enragednuke#2565 , ik that one's bugged
10 Jul 2016 02:31:52 : The Pleb Privateers , enragednuke#2565 , lol
10 Jul 2016 02:31:54 : The Pleb Privateers , enragednuke#2565 , [lol]
10 Jul 2016 02:31:57 : The Pleb Privateers , enragedrobo#6009 , **Color**
Link: <http://myanimelist.net/manga/35555/Color>
**Volumes**: 2
**Chapters**: 10
**Status**: Finished
**Rating**: 7.03 (by 792 users)
10 Jul 2016 02:32:03 : The Pleb Privateers , Wertfuzzy77#0274 , wut
10 Jul 2016 02:32:15 : The Pleb Privateers , enragednuke#2565 , <@!126122455248011265>
10 Jul 2016 02:32:16 : Cipher , Wertfuzzy77#0274 , lol
10 Jul 2016 02:32:16 : The Pleb Privateers , enragednuke#2565 , ;afk
10 Jul 2016 02:32:17 : The Pleb Privateers , Botfuzzy77#2209 , enragednuke is no Longer AFK
10 Jul 2016 02:32:17 : Cipher , Wertfuzzy77#0274 , yw
10 Jul 2016 02:32:17 : The Pleb Privateers , enragednuke#2565 , ?back
10 Jul 2016 02:32:17 : The Pleb Privateers , enragedrobo#6009 , You are no longer afk.
10 Jul 2016 02:32:31 : The Pleb Privateers , enragednuke#2565 , <hibike>
10 Jul 2016 02:32:32 : The Pleb Privateers , Wertfuzzy77#0274 , i like how you use both afkx
10 Jul 2016 02:32:34 : The Pleb Privateers , enragedrobo#6009 , **Hibike! Euphonium**
Link: <http://myanimelist.net/anime/27989/Hibike_Euphonium>
**Episodes**: 13
**Status**: Finished Airing
**Rating**: 8.02 (by 52,117 users)
10 Jul 2016 02:32:36 : The Pleb Privateers , Wertfuzzy77#0274 , afks*
10 Jul 2016 02:32:37 : Cipher , RoyGasm ;)#7098 , i edit my playlist regularly kek
10 Jul 2016 02:32:49 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=etAIpkdhU9Q
10 Jul 2016 02:32:58 : The Pleb Privateers , enragednuke#2565 , <your lie in april>
10 Jul 2016 02:33:01 : The Pleb Privateers , enragedrobo#6009 , **Shigatsu wa Kimi no Uso**
Link: <http://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso>
**Episodes**: 22
**Status**: Finished Airing
**Rating**: 8.93 (by 192,712 users)
10 Jul 2016 02:33:06 : The Pleb Privateers , Wertfuzzy77#0274 , <my life in april>
10 Jul 2016 02:33:06 : The Pleb Privateers , enragednuke#2565 , 8.93 Kreygasm
10 Jul 2016 02:33:09 : The Pleb Privateers , enragedrobo#6009 , **Shigatsu wa Kimi no Uso**
Link: <http://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso>
**Episodes**: 22
**Status**: Finished Airing
**Rating**: 8.93 (by 192,712 users)
10 Jul 2016 02:33:31 : The Pleb Privateers , enragednuke#2565 , <FMAB>
10 Jul 2016 02:33:34 : The Pleb Privateers , enragedrobo#6009 , **B Gata H Kei**
Link: <http://myanimelist.net/anime/7817/B_Gata_H_Kei>
**Episodes**: 12
**Status**: Finished Airing
**Rating**: 7.20 (by 107,053 users)
10 Jul 2016 02:33:36 : The Pleb Privateers , enragednuke#2565 , ..
10 Jul 2016 02:33:37 : The Pleb Privateers , enragednuke#2565 , <FMA>
10 Jul 2016 02:33:40 : The Pleb Privateers , enragedrobo#6009 , **Fullmetal Alchemist: Reflections**
Link: <http://myanimelist.net/anime/664/Fullmetal_Alchemist__Reflections>
**Episodes**: 1
**Status**: Finished Airing
**Rating**: 7.40 (by 10,281 users)
10 Jul 2016 02:33:42 : The Pleb Privateers , enragednuke#2565 , ye
10 Jul 2016 02:33:43 : The Pleb Privateers , Wertfuzzy77#0274 , ;fml
10 Jul 2016 02:33:44 : The Pleb Privateers , Botfuzzy77#2209 , *Today, I wasn't feeling well, so I took my temperature with a thermometer from my sister's bathroom. I later found out that I actually used my sister's rectal thermometer. At least I don't have a fever. FML*
10 Jul 2016 02:33:45 : The Pleb Privateers , enragednuke#2565 , wait
10 Jul 2016 02:33:46 : The Pleb Privateers , enragednuke#2565 , no
10 Jul 2016 02:33:51 : The Pleb Privateers , enragednuke#2565 , <FMA brotherhood>
10 Jul 2016 02:33:54 : The Pleb Privateers , enragedrobo#6009 , **Brotherhood: Final Fantasy XV**
Link: <http://myanimelist.net/anime/33080/Brotherhood__Final_Fantasy_XV>
**Episodes**: 5
**Status**: Currently Airing
**Rating**: 7.30 (by 3,881 users)
10 Jul 2016 02:33:57 : The Pleb Privateers , enragednuke#2565 , ????????????
10 Jul 2016 02:33:58 : Cipher , Wertfuzzy77#0274 , ;fml
10 Jul 2016 02:33:59 : Cipher , Botfuzzy77#2209 , *Today, I was teaching a woodshop class. We were using power tools, including drills, and pieces of pine wood. While helping a kid to hold a piece to practice drilling, he went too far forward with the drill. It went through my hand. FML*
10 Jul 2016 02:34:07 : The Pleb Privateers , enragednuke#2565 , <fullmetal alchemist brotherhood>
10 Jul 2016 02:34:11 : Cipher , Wertfuzzy77#0274 , xD
10 Jul 2016 02:34:11 : The Pleb Privateers , enragedrobo#6009 , **Fullmetal Alchemist: Brotherhood**
Link: <http://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood>
**Episodes**: 64
**Status**: Finished Airing
**Rating**: 9.26 (by 435,194 users)
10 Jul 2016 02:34:14 : The Pleb Privateers , enragednuke#2565 , yee
10 Jul 2016 02:34:16 : The Pleb Privateers , enragednuke#2565 , 9.26
10 Jul 2016 02:34:22 : Cipher , RoyGasm ;)#7098 , LELEL
10 Jul 2016 02:34:25 : Cipher , RoyGasm ;)#7098 , WELL RIP
10 Jul 2016 02:34:32 : The Pleb Privateers , Wertfuzzy77#0274 , wow fancy
10 Jul 2016 02:34:37 : The Pleb Privateers , Wertfuzzy77#0274 , [steins gate]
10 Jul 2016 02:34:39 : The Pleb Privateers , enragedrobo#6009 , **Steins;Gate**
Link: <http://myanimelist.net/manga/17517/Steins_Gate>
**Volumes**: 3
**Chapters**: 23
**Status**: Finished
**Rating**: 8.28 (by 2436 users)
10 Jul 2016 02:34:44 : The Pleb Privateers , Wertfuzzy77#0274 , no
10 Jul 2016 02:34:45 : The Pleb Privateers , enragednuke#2565 , square brackets is manga
10 Jul 2016 02:34:45 : The Pleb Privateers , Wertfuzzy77#0274 , wrong 1
10 Jul 2016 02:34:48 : Cipher , RoyGasm ;)#7098 , <@!134441036905840640>
10 Jul 2016 02:34:50 : The Pleb Privateers , Wertfuzzy77#0274 , <steins gate>
10 Jul 2016 02:34:54 : Cipher , Wertfuzzy77#0274 , ?
10 Jul 2016 02:34:55 : Cipher , RoyGasm ;)#7098 , play hotel cali k
10 Jul 2016 02:34:59 : Cipher , Wertfuzzy77#0274 , OOO
10 Jul 2016 02:35:00 : Cipher , Wertfuzzy77#0274 , sure
10 Jul 2016 02:35:06 : The Pleb Privateers , enragedrobo#6009 , **Steins;Gate**
Link: <http://myanimelist.net/anime/9253/Steins_Gate>
**Episodes**: 24
**Status**: Finished Airing
