23 Jun 2016 00:15:01 : LimitlessMc , Genesect#6492 , server restart
23 Jun 2016 00:15:06 : LimitlessMc , ThaOriginal#5897 , why do you think the server has random downtime
23 Jun 2016 00:15:10 : LimitlessMc , Mank#0033 , savage
23 Jun 2016 00:15:15 : LimitlessMc , ThaOriginal#5897 , faking haxed
23 Jun 2016 00:15:15 : LimitlessMc , Genesect#6492 , <@151438890107011072>
23 Jun 2016 00:15:27 : LimitlessMc , Mank#0033 , omfg genesect just wait
23 Jun 2016 00:15:28 : LimitlessMc , Genesect#6492 , maybe server restart work
23 Jun 2016 00:15:35 : LimitlessMc , Mank#0033 , you start crying the second you are off the server
23 Jun 2016 00:15:40 : LimitlessMc , Genesect#6492 , yeah
23 Jun 2016 00:15:43 : LimitlessMc , Genesect#6492 , its my boobie
23 Jun 2016 00:15:46 : LimitlessMc , Genesect#6492 , am babi
23 Jun 2016 00:15:49 : LimitlessMc , Genesect#6492 , i need boobie
23 Jun 2016 00:15:59 : LimitlessMc , Genesect#6492 , le
23 Jun 2016 00:16:05 : LimitlessMc , Mank#0033 , it will fix on restart but not restarting just for you
23 Jun 2016 00:16:09 : LimitlessMc , Genesect#6492 , wow
23 Jun 2016 00:16:09 : LimitlessMc , Genesect#6492 , r00d
23 Jun 2016 00:16:16 : LimitlessMc , Mank#0033 , not worth all the players leaving and all the chunks breaking
23 Jun 2016 00:16:26 : LimitlessMc , Genesect#6492 , fak
23 Jun 2016 00:16:27 : LimitlessMc , Genesect#6492 , how long
23 Jun 2016 00:16:31 : LimitlessMc , Genesect#6492 , until next restart
23 Jun 2016 00:16:38 : LimitlessMc , ThaOriginal#5897 , thats it.. send me his ip. the only way to solve this is to fry is microwave router
23 Jun 2016 00:16:53 : LimitlessMc , Nalk Xulk Uk Eht#7098 , ayy
23 Jun 2016 00:16:53 : LimitlessMc , Botfuzzy77#2926 , Lmao
23 Jun 2016 00:17:14 : LimitlessMc , Mank#0033 , ayy
23 Jun 2016 00:17:14 : LimitlessMc , Botfuzzy77#2926 , Lmao
23 Jun 2016 00:17:17 : LimitlessMc , Genesect#6492 , ayy
23 Jun 2016 00:17:17 : LimitlessMc , Botfuzzy77#2926 , Lmao
23 Jun 2016 00:17:22 : LimitlessMc , Nalk Xulk Uk Eht#7098 , ayy bet
23 Jun 2016 00:17:24 : LimitlessMc , Genesect#6492 , hello
23 Jun 2016 00:17:24 : LimitlessMc , Botfuzzy77#2926 , *From The Other Side*
23 Jun 2016 00:17:36 : LimitlessMc , Mank#0033 , !hep
23 Jun 2016 00:17:36 : LimitlessMc , Genesect#6492 , !kys
23 Jun 2016 00:17:36 : LimitlessMc , Botfuzzy77#2926 , Dont Be Lazy, Type !help
23 Jun 2016 00:17:36 : LimitlessMc , Botfuzzy77#2926 , Hey Mean!
23 Jun 2016 00:17:44 : LimitlessMc , Genesect#6492 , !kys
23 Jun 2016 00:17:44 : LimitlessMc , Botfuzzy77#2926 , Hey Mean!
23 Jun 2016 00:17:57 : LimitlessMc , Genesect#6492 , is there scheduled restarts?
23 Jun 2016 00:18:05 : LimitlessMc , Mank#0033 , yes
23 Jun 2016 00:18:10 : LimitlessMc , Genesect#6492 , next one being at?
23 Jun 2016 00:19:17 : LimitlessMc , Mank#0033 , tbh dk cuz console being spammed
23 Jun 2016 00:19:57 : LimitlessMc , Genesect#6492 , fak
23 Jun 2016 00:20:15 : LimitlessMc , ThaOriginal#5897 , im ready when you are mank
23 Jun 2016 00:20:54 : LimitlessMc , ThaOriginal#5897 , https://gyazo.com/7b6909bc18b4d77e8250f9db654137a1
23 Jun 2016 00:21:59 : LimitlessMc , Genesect#6492 , well rip me
23 Jun 2016 00:22:01 : LimitlessMc , Genesect#6492 , brb bleach
23 Jun 2016 00:32:00 : LimitlessMc , TheMajesticSeal#2289 , <@151438890107011072>  i was in a battle with celebi and it randomly glitched out and disappeared '-'
23 Jun 2016 00:32:10 : LimitlessMc , Genesect#6492 , !meme nice lie
23 Jun 2016 00:32:11 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/16aef0.jpg
23 Jun 2016 00:32:24 : LimitlessMc , TheMajesticSeal#2289 , im not lying but okay
23 Jun 2016 00:32:30 : LimitlessMc , Genesect#6492 , kekekek
23 Jun 2016 00:32:34 : LimitlessMc , Mank#0033 , pics or it didnt happen
23 Jun 2016 00:32:40 : LimitlessMc , Genesect#6492 , exactly
23 Jun 2016 00:32:42 : LimitlessMc , TheMajesticSeal#2289 , i have pics of chat
23 Jun 2016 00:32:44 : LimitlessMc , Genesect#6492 , dick pics rn
23 Jun 2016 00:32:49 : LimitlessMc , TheMajesticSeal#2289 , not the celebi
23 Jun 2016 00:32:55 : LimitlessMc , Mank#0033 , y tf would you take a pic of chat instead of celebi
23 Jun 2016 00:33:06 : LimitlessMc , TheMajesticSeal#2289 , i threw my pokemon at it
23 Jun 2016 00:33:10 : LimitlessMc , Genesect#6492 , <@151438890107011072>  it wasnt celebi
23 Jun 2016 00:33:12 : LimitlessMc , TheMajesticSeal#2289 , and 2 sec later it disappeared
23 Jun 2016 00:33:16 : LimitlessMc , Genesect#6492 , it was a lvl 70 shiny rayquaza
23 Jun 2016 00:33:17 : LimitlessMc , TheMajesticSeal#2289 , i didnt expect that
23 Jun 2016 00:33:27 : LimitlessMc , Genesect#6492 , le
23 Jun 2016 00:33:29 : LimitlessMc , Mank#0033 , not refunding unless i get valid proof
23 Jun 2016 00:33:41 : LimitlessMc , TheMajesticSeal#2289 , how can i give you proof
