21 Jul 2016 05:17:30 : League Of Legends, general, RoyGasm#7098, _discordgold help how to do this shit
21 Jul 2016 05:17:32 : League Of Legends, general, GN4R#8315, ```xl
Discord Gold is required to view this message.
```
21 Jul 2016 05:17:38 : League Of Legends, general, RoyGasm#7098, wtf is discord gold
21 Jul 2016 05:17:43 : League Of Legends, general, Legit_0reo#9709, _tts fuck my nigga's bitch
21 Jul 2016 05:17:43 : League Of Legends, general, GN4R#8315, fuck my nigga's bitch
21 Jul 2016 05:17:47 : League Of Legends, general, TheLast1Alive#7757, Lmfao
21 Jul 2016 05:17:50 : League Of Legends, general, RoyGasm#7098, lele
21 Jul 2016 05:18:03 : League Of Legends, general, TheLast1Alive#7757, Racist mofos 
21 Jul 2016 05:18:06 : League Of Legends, general, Legit_0reo#9709, _tts cum on my floor pussy
21 Jul 2016 05:18:06 : League Of Legends, general, GN4R#8315, cum on my floor pussy
21 Jul 2016 05:18:08 : League Of Legends, general, RoyGasm#7098, ^
21 Jul 2016 05:18:09 : League Of Legends, general, Botfuzzy77#2209, ^
21 Jul 2016 05:18:10 : League Of Legends, general, RoyGasm#7098, lele
21 Jul 2016 05:18:13 : League Of Legends, general, Legit_0reo#9709, wtf
21 Jul 2016 05:18:18 : League Of Legends, general, RoyGasm#7098, _rcg
21 Jul 2016 05:18:18 : League Of Legends, general, GN4R#8315, Cyanide and Happiness
**Random Comic Generator**
Link: http://files.explosm.net/rcg/nkbupearb.png
21 Jul 2016 05:18:20 : League Of Legends, general, Legit_0reo#9709, _tts im just making up radom shit
21 Jul 2016 05:18:20 : League Of Legends, general, GN4R#8315, im just making up radom shit
21 Jul 2016 05:18:27 : League Of Legends, general, RoyGasm#7098, lmfao
21 Jul 2016 05:18:29 : League Of Legends, general, RoyGasm#7098, _rcg
21 Jul 2016 05:18:30 : League Of Legends, general, GN4R#8315, Cyanide and Happiness
**Random Comic Generator**
Link: http://files.explosm.net/rcg/ejdkprjrt.png
21 Jul 2016 05:18:34 : League Of Legends, general, Legit_0reo#9709, _tts fagfagfagfagfagfagfagfag
21 Jul 2016 05:18:34 : League Of Legends, general, GN4R#8315, fagfagfagfagfagfagfagfag
21 Jul 2016 05:18:50 : League Of Legends, general, Legit_0reo#9709, _tts cover your head with a platice food lion bag
21 Jul 2016 05:18:50 : League Of Legends, general, GN4R#8315, cover your head with a platice food lion bag
21 Jul 2016 05:18:57 : League Of Legends, general, RoyGasm#7098, _rcg
21 Jul 2016 05:18:57 : League Of Legends, general, GN4R#8315, Cyanide and Happiness
**Random Comic Generator**
Link: http://files.explosm.net/rcg/zyoevthyo.png
21 Jul 2016 05:19:31 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
21 Jul 2016 05:19:44 : League Of Legends, general, Legit_0reo#9709, _tts roy will get a penta this game
21 Jul 2016 05:19:44 : League Of Legends, general, GN4R#8315, roy will get a penta this game
21 Jul 2016 05:19:52 : League Of Legends, general, Legit_0reo#9709, _tts german sluts
21 Jul 2016 05:19:57 : League Of Legends, general, GN4R#8315, german sluts
21 Jul 2016 05:20:02 : League Of Legends, general, RoyGasm#7098, _tts buy me grim reaper kart okei thank
21 Jul 2016 05:20:02 : League Of Legends, general, GN4R#8315, buy me grim reaper kart okei thank
21 Jul 2016 05:20:02 : League Of Legends, general, TheLast1Alive#7757,  Lmao 
21 Jul 2016 05:20:12 : League Of Legends, general, Legit_0reo#9709, _tts okeiokeiokeiokeiokeiokei
21 Jul 2016 05:20:13 : League Of Legends, general, GN4R#8315, okeiokeiokeiokeiokeiokei
21 Jul 2016 05:20:18 : League Of Legends, general, RoyGasm#7098, _tts bimbo okei
21 Jul 2016 05:20:18 : League Of Legends, general, GN4R#8315, bimbo okei
21 Jul 2016 05:20:19 : League Of Legends, general, Legit_0reo#9709, lmfao
21 Jul 2016 05:20:22 : League Of Legends, general, TheLast1Alive#7757, Lmfao
21 Jul 2016 05:20:27 : League Of Legends, general, RoyGasm#7098, lelele
21 Jul 2016 05:20:27 : League Of Legends, general, Legit_0reo#9709, _tts jay113355
21 Jul 2016 05:20:27 : League Of Legends, general, GN4R#8315, jay113355
21 Jul 2016 05:20:36 : League Of Legends, general, Legit_0reo#9709, _tts jayjayjayjayjayjay
21 Jul 2016 05:20:36 : League Of Legends, general, GN4R#8315, jayjayjayjayjayjay
21 Jul 2016 05:20:42 : League Of Legends, general, RoyGasm#7098, _tts TheLastSnakeAlive
21 Jul 2016 05:20:42 : League Of Legends, general, GN4R#8315, TheLastSnakeAlive
21 Jul 2016 05:20:54 : League Of Legends, general, RoyGasm#7098, _tts we win guys okei
21 Jul 2016 05:20:55 : League Of Legends, general, GN4R#8315, we win guys okei
21 Jul 2016 05:21:02 : League Of Legends, general, Legit_0reo#9709, _tts lukasplayzwithhisweinerinbedatnight
21 Jul 2016 05:21:03 : League Of Legends, general, GN4R#8315, lukasplayzwithhisweinerinbedatnight
21 Jul 2016 05:21:08 : League Of Legends, general, Legit_0reo#9709, lfao
21 Jul 2016 05:21:10 : League Of Legends, general, RoyGasm#7098, ^^^
21 Jul 2016 05:21:12 : League Of Legends, general, TheLast1Alive#7757, We lose 
21 Jul 2016 05:21:17 : League Of Legends, general, RoyGasm#7098, _tts can i join?
21 Jul 2016 05:21:17 : League Of Legends, general, GN4R#8315, can i join?
21 Jul 2016 05:21:20 : League Of Legends, general, RoyGasm#7098, lelel
21 Jul 2016 05:21:23 : League Of Legends, general, TheLast1Alive#7757,  Teemo counters gnar
21 Jul 2016 05:21:24 : League Of Legends, general, TheLast1Alive#7757, Rippp
21 Jul 2016 05:21:30 : League Of Legends, general, Legit_0reo#9709, _tts she said hola como estas
21 Jul 2016 05:21:30 : League Of Legends, general, RoyGasm#7098, but kart wins all
21 Jul 2016 05:21:31 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
21 Jul 2016 05:21:32 : League Of Legends, general, GN4R#8315, she said hola como estas
21 Jul 2016 05:21:36 : League Of Legends, general, Legit_0reo#9709, lfmao
21 Jul 2016 05:21:38 : League Of Legends, general, Legit_0reo#9709, lmfao
21 Jul 2016 05:21:40 : League Of Legends, general, Legit_0reo#9709, lmao
21 Jul 2016 05:21:46 : League Of Legends, general, RoyGasm#7098, _tts i better than myst okei
21 Jul 2016 05:21:46 : League Of Legends, general, GN4R#8315, i better than myst okei
21 Jul 2016 05:21:57 : League Of Legends, general, Legit_0reo#9709, _tts okei sounds like oh kia
21 Jul 2016 05:21:57 : League Of Legends, general, GN4R#8315, okei sounds like oh kia
21 Jul 2016 05:22:06 : League Of Legends, general, RoyGasm#7098, _tts wtf is allistar?
21 Jul 2016 05:22:06 : League Of Legends, general, GN4R#8315, wtf is allistar?
21 Jul 2016 05:22:16 : League Of Legends, general, Legit_0reo#9709, _tts shenta kill
21 Jul 2016 05:22:16 : League Of Legends, general, GN4R#8315, shenta kill
21 Jul 2016 05:22:18 : League Of Legends, general, TheLast1Alive#7757, Ur mom 
21 Jul 2016 05:22:23 : League Of Legends, general, RoyGasm#7098, ^^
21 Jul 2016 05:22:29 : League Of Legends, general, TheLast1Alive#7757, That's what alistar is 
21 Jul 2016 05:22:30 : League Of Legends, general, Legit_0reo#9709, _tts nut in the butt
21 Jul 2016 05:22:30 : League Of Legends, general, GN4R#8315, nut in the butt
21 Jul 2016 05:22:35 : League Of Legends, general, RoyGasm#7098, _tts bitch i fuck your nig mother okei last1
21 Jul 2016 05:22:36 : League Of Legends, general, GN4R#8315, bitch i fuck your nig mother okei last1
21 Jul 2016 05:22:51 : League Of Legends, general, TheLast1Alive#7757, Kys 
21 Jul 2016 05:23:10 : League Of Legends, general, RoyGasm#7098, _tts we did it in your bed
21 Jul 2016 05:23:10 : League Of Legends, general, GN4R#8315, we did it in your bed
21 Jul 2016 05:23:18 : League Of Legends, general, RoyGasm#7098, _tts nice star wars sheets
21 Jul 2016 05:23:20 : League Of Legends, general, Legit_0reo#9709, _tts nig fig newton
21 Jul 2016 05:23:23 : League Of Legends, general, GN4R#8315, nice star wars sheets
21 Jul 2016 05:23:23 : League Of Legends, general, GN4R#8315, nig fig newton
21 Jul 2016 05:23:28 : League Of Legends, general, TheLast1Alive#7757, Damn u did it on the floor ?
21 Jul 2016 05:23:38 : League Of Legends, general, RoyGasm#7098, _tts bet
21 Jul 2016 05:23:38 : League Of Legends, general, GN4R#8315, bet
21 Jul 2016 05:23:52 : League Of Legends, general, RoyGasm#7098, _tts ex dee
21 Jul 2016 05:23:52 : League Of Legends, general, GN4R#8315, ex dee
21 Jul 2016 05:23:53 : League Of Legends, general, Legit_0reo#9709, _tts bet this big black bitch
