12 Sep 2016 16:47:32 : GetPlebd, weeaboo-chat, Gilles#3169, @Beep-Boop69 cyka blyat
12 Sep 2016 16:47:32 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, Ce inseamna asta?
12 Sep 2016 16:47:36 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:47:46 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:47:49 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Dong Ding**(Children of The Raw Man) is now Online!
12 Sep 2016 16:47:51 : GetPlebd, weeaboo-chat, Gilles#3169, @Beep-Boop69  they are taking the hobbits to isengard
12 Sep 2016 16:47:52 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, The hobbits to isengard?!
12 Sep 2016 16:47:56 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:47:57 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
12 Sep 2016 16:48:03 : GetPlebd, weeaboo-chat, Gilles#3169, @Beep-Boop69  the hobbits the hobbits the hobbits the hobbits
12 Sep 2016 16:48:03 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, To isengard to isengard.
12 Sep 2016 16:48:06 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:48:18 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:48:26 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:48:36 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:48:46 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:48:56 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:49:06 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:49:16 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:49:26 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:49:36 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:49:46 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:49:56 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:50:06 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:50:16 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:50:27 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:50:37 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
12 Sep 2016 16:50:37 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:50:46 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:50:56 : Penguins, general, Hiraeth#1962, omg this online/offline shit is driving me crazy, muted
12 Sep 2016 16:50:57 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:51:07 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:51:16 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:51:19 : GetPlebd, weeaboo-chat, Gilles#3169, @Beep-Boop69  stfu
12 Sep 2016 16:51:20 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, Ai virusi. Iti recomand Norton.
12 Sep 2016 16:51:26 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:51:36 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:51:46 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:51:56 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:52:06 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:52:16 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:52:27 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:52:36 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:52:46 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:52:56 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:53:06 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:53:16 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
12 Sep 2016 16:53:16 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:53:26 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:53:37 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:53:46 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:53:56 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **I-Like-Pizzja**(Nazi) is now Online!
12 Sep 2016 16:53:58 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:54:06 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:54:16 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:54:26 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
