08 Sep 2016 01:31:56 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Daniel**(Children of The Raw Man) is now Online!
08 Sep 2016 01:32:04 : LimitlessMc, mainchat, Pokken#0986, I was refering to Aluxir always getting screwed out of items
08 Sep 2016 01:32:46 : LimitlessMc, mainchat, Topheralan#1202, Probs same amount as other people, they just don't bitch as much about it.
08 Sep 2016 01:33:53 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
08 Sep 2016 01:33:53 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
08 Sep 2016 01:34:23 : LimitlessMc, mainchat, depthy#3405, @Topheralan I'm sick and busy w/ school I'm sorry :(
08 Sep 2016 01:34:33 : LimitlessMc, mainchat, Topheralan#1202, AIDS?
08 Sep 2016 01:34:52 : LimitlessMc, mainchat, Topheralan#1202, Bird flu?
08 Sep 2016 01:34:57 : LimitlessMc, mainchat, Topheralan#1202, SARS?
08 Sep 2016 01:35:18 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Daniel**(Children of The Raw Man) is now Offline!
08 Sep 2016 01:37:19 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
08 Sep 2016 01:37:20 : LimitlessMc, mainchat, Bringer#7277, @Jay113355  are you able to jump on for a min?
08 Sep 2016 01:37:32 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
08 Sep 2016 01:38:11 : LimitlessMc, mainchat, Topheralan#1202, @Bringer did Aussie fix my poke?
08 Sep 2016 01:38:29 : LimitlessMc, mainchat, Bringer#7277, idk hes sleeping i think
08 Sep 2016 01:38:42 : LimitlessMc, mainchat, Topheralan#1202, Ass. Lol
08 Sep 2016 01:38:48 : LimitlessMc, mainchat, Bringer#7277, lol
08 Sep 2016 01:38:49 : LimitlessMc, mainchat, Kye#1719, what is wrong with the guild setbase rn?
08 Sep 2016 01:39:45 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
08 Sep 2016 01:41:52 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Dong Ding**(Children of The Raw Man) is now Online!
08 Sep 2016 01:47:49 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
08 Sep 2016 01:47:49 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
08 Sep 2016 01:48:02 : LimitlessMc, mainchat, Bringer#7277, @Topheralan  so do you got a good snivy i can get
08 Sep 2016 01:48:34 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Online!
08 Sep 2016 01:55:13 : Cipher, general, Wertfuzzy77#0274, ;playlist FUN GnR SteinsGate Coldplay
08 Sep 2016 01:55:35 : Cipher, general, Botfuzzy77#2209, Finished Adding songs from playlist(s)
08 Sep 2016 01:58:38 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
08 Sep 2016 01:59:30 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
08 Sep 2016 02:00:52 : LimitlessMc, mainchat, Topheralan#1202, I would have to breed one.
08 Sep 2016 02:02:04 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
08 Sep 2016 02:03:50 : LimitlessMc, mainchat, LittleLadyYomi#5456, So, someone on the sever atm says that he is in creative and would like to be put out of it.
08 Sep 2016 02:04:04 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
08 Sep 2016 02:04:42 : LimitlessMc, mainchat, Jay113355#4999, Who
08 Sep 2016 02:06:20 : LimitlessMc, mainchat, MegaBlazekien#6580, Memes are dank
08 Sep 2016 02:06:32 : Cipher, general, Wertfuzzy77#0274, ;shuffle
08 Sep 2016 02:06:32 : Cipher, general, Botfuzzy77#2209, Shuffling songs...
08 Sep 2016 02:07:02 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
08 Sep 2016 02:08:00 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
08 Sep 2016 02:08:40 : LimitlessMc, mainchat, Jay113355#4999, No hes a retard hes not in creative
08 Sep 2016 02:10:49 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Priests of The Raw Man) is now Online!
08 Sep 2016 02:10:49 : LimitlessMc, mainchat, Bringer#7277, i know ive told him hes not
08 Sep 2016 02:11:27 : LimitlessMc, mainchat, Bringer#7277, he thinks cuz his hunger isnt going down he is
08 Sep 2016 02:12:12 : LimitlessMc, mainchat, Bringer#7277, but dimondscratcher has nt recevied their poke yet
08 Sep 2016 02:14:12 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
08 Sep 2016 02:14:18 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
08 Sep 2016 02:14:49 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
08 Sep 2016 02:16:33 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
08 Sep 2016 02:16:56 : LimitlessMc, mainchat, Jay113355#4999, He didnt donate for a shiny mew
08 Sep 2016 02:17:14 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
08 Sep 2016 02:18:19 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Priests of The Raw Man) is now Offline!
08 Sep 2016 02:18:55 : LimitlessMc, mainchat, Bringer#7277, he has been bugging me about it for hours saying he did
08 Sep 2016 02:19:06 : LimitlessMc, mainchat, Bringer#7277, i told him to talk to you
