13 Aug 2016 23:19:08 : LimitlessMc, mainchat, ZyroPlayz#3967, holy shit knight steel is live on twitch
13 Aug 2016 23:19:16 : LimitlessMc, mainchat, ZyroPlayz#3967, ima go watch his stream xD
13 Aug 2016 23:19:22 : LimitlessMc, mainchat, Tomas1O1#4667, kk
13 Aug 2016 23:19:46 : LimitlessMc, mainchat, Tomas1O1#4667, <:goMystic:210471830039822338>  <:goInstinct:210471976999845890>  <:goValor:210471783470596096>
13 Aug 2016 23:19:49 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
13 Aug 2016 23:20:41 : LimitlessMc, mainchat, ZyroPlayz#3967, @Knight_Steel im watchin ur stream nice one
13 Aug 2016 23:21:40 : LimitlessMc, mainchat, Mank#0033, what is ur stream name
13 Aug 2016 23:24:49 : Gang ;), general, Botfuzzy77#2209, **TheGoose25**(No Role) is now Online!
13 Aug 2016 23:24:52 : LimitlessMc, mainchat, ZyroPlayz#3967, @Mank just look for knight_steel on the list and click on em
13 Aug 2016 23:25:30 : Gang ;), general, Botfuzzy77#2209, **Olivia**(Staff/Guild Leaders) is now Online!
13 Aug 2016 23:25:56 : Gang ;), general, xPalkia(lugia)#8149, ;clever kys
13 Aug 2016 23:25:57 : Gang ;), general, Botfuzzy77#2209, Kysser.
13 Aug 2016 23:26:10 : Gang ;), general, xPalkia(lugia)#8149, ;clever I know I love to kys
13 Aug 2016 23:26:10 : Gang ;), general, Botfuzzy77#2209, Me too!
13 Aug 2016 23:26:15 : Gang ;), general, xPalkia(lugia)#8149, ;clever same
13 Aug 2016 23:26:16 : Gang ;), general, Botfuzzy77#2209, Do you want a unicorn?
13 Aug 2016 23:26:20 : Gang ;), general, xPalkia(lugia)#8149, ;clever no
13 Aug 2016 23:26:21 : Gang ;), general, Botfuzzy77#2209, Are you sure?
13 Aug 2016 23:26:27 : Gang ;), general, xPalkia(lugia)#8149, ;clever yes, go drink bleach
13 Aug 2016 23:26:28 : Gang ;), general, Botfuzzy77#2209, I wanna bee.
13 Aug 2016 23:26:35 : Gang ;), general, xPalkia(lugia)#8149, ;clever You arent getting one
13 Aug 2016 23:26:36 : Gang ;), general, Botfuzzy77#2209, Why are you sulking? Don't sulk.
13 Aug 2016 23:26:36 : Gang ;), general, Hiraeth#1962, pls le spam
13 Aug 2016 23:26:44 : Gang ;), general, xPalkia(lugia)#8149, :I i make botchat now
13 Aug 2016 23:26:48 : Gang ;), general, Hiraeth#1962, :l
13 Aug 2016 23:26:56 : LimitlessMc, mainchat, Mank#0033, saw it
13 Aug 2016 23:26:57 : LimitlessMc, mainchat, Mank#0033, its ass
13 Aug 2016 23:27:24 : Gang ;), talk_to_botfuzzy, xPalkia(lugia)#8149, ;clever kys
13 Aug 2016 23:27:28 : Gang ;), talk_to_botfuzzy, Botfuzzy77#2209, Be happy! Don't worry.
13 Aug 2016 23:27:35 : Gang ;), talk_to_botfuzzy, xPalkia(lugia)#8149, ;clever No
13 Aug 2016 23:27:36 : Gang ;), talk_to_botfuzzy, Botfuzzy77#2209, *goes for a walk*.
13 Aug 2016 23:27:52 : Gang ;), talk_to_botfuzzy, Hiraeth#1962, Still hear those notifictions fml muting discorfd for noe xd
13 Aug 2016 23:28:09 : Gang ;), talk_to_botfuzzy, xPalkia(lugia)#8149, @Hiraeth  jay is on and i still dont think im getting helper soon
13 Aug 2016 23:28:15 : Gang ;), talk_to_botfuzzy, Hiraeth#1962, :l ye
13 Aug 2016 23:28:29 : LimitlessMc, mainchat, ZyroPlayz#3967, mank was that u xD
13 Aug 2016 23:28:33 : Gang ;), talk_to_botfuzzy, xPalkia(lugia)#8149, I cant ask because he would either change his mind or just ignore
13 Aug 2016 23:28:44 : LimitlessMc, mainchat, Tomas1O1#4667, RIP charizard that I couldn't catch
13 Aug 2016 23:28:47 : LimitlessMc, mainchat, ZyroPlayz#3967, im still watchin thi guys stream xD
13 Aug 2016 23:28:57 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
13 Aug 2016 23:28:57 : 02Gaming, general, Botfuzzy77#2209, **LightShadow**(Guide) is now Offline!
13 Aug 2016 23:28:57 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
13 Aug 2016 23:29:07 : Gang ;), talk_to_botfuzzy, Hiraeth#1962, Maybe :l
13 Aug 2016 23:29:24 : LimitlessMc, mainchat, ZyroPlayz#3967, how do i spell coffing i cant remember how to spell it
13 Aug 2016 23:29:28 : LimitlessMc, mainchat, ZyroPlayz#3967, not the damn pokemon
13 Aug 2016 23:29:39 : LimitlessMc, mainchat, Tomas1O1#4667, Coughing
13 Aug 2016 23:29:57 : LimitlessMc, mainchat, ZyroPlayz#3967, thanks xD
13 Aug 2016 23:29:57 : LimitlessMc, mainchat, Tomas1O1#4667, something like that
13 Aug 2016 23:30:28 : LimitlessMc, mainchat, ZyroPlayz#3967, @Tomas1O1 lets go watch his stream
13 Aug 2016 23:31:05 : LimitlessMc, mainchat, ZyroPlayz#3967, im wearing damn head phones @Knight_Steel fucking stop coughing its loud and ur breaking my ears
13 Aug 2016 23:31:21 : Gang ;), general, Botfuzzy77#2209, **TheGoose25**(Staff/Guild Leaders) is now Offline!
13 Aug 2016 23:31:57 : 02Gaming, general, Botfuzzy77#2209, **LightShadow**(Guide) is now Online!
13 Aug 2016 23:31:57 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
13 Aug 2016 23:31:57 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
13 Aug 2016 23:33:23 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Gilles**(Nazi) is now Offline!
13 Aug 2016 23:33:37 : League Of Legends, general, Botfuzzy77#2209, **ThaOriginal**(Security) is now Online!
13 Aug 2016 23:33:38 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
13 Aug 2016 23:33:56 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
13 Aug 2016 23:33:56 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
13 Aug 2016 23:37:25 : Gang ;), general, Botfuzzy77#2209, **TheGoose25**(Staff/Guild Leaders) is now Online!
13 Aug 2016 23:38:25 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Online!
13 Aug 2016 23:38:41 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Offline!
13 Aug 2016 23:39:27 : Gang ;), general, Botfuzzy77#2209, **TheGoose25**(Staff/Guild Leaders) is now Offline!
13 Aug 2016 23:39:41 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Offline!
13 Aug 2016 23:42:47 : Cipher, general, Botfuzzy77#2209, **Sir_Blazer**(Grunt) is now Online!
