23 Aug 2016 16:01:54 : Cipher, general, Botfuzzy77#2209, **Calamariela**(Officer) is now Offline!
23 Aug 2016 16:01:54 : PassionMC, general, Botfuzzy77#2209, **Calamariela**(No Role) is now Offline!
23 Aug 2016 16:02:19 : PassionMC, general, Botfuzzy77#2209, **Lucario**(Owners) is now Online!
23 Aug 2016 16:02:49 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
23 Aug 2016 16:03:58 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Offline!
23 Aug 2016 16:04:19 : PassionMC, general, Botfuzzy77#2209, **Lucario**(Owners) is now Offline!
23 Aug 2016 16:04:53 : Cipher, general, Jabulla#3761, Hi
23 Aug 2016 16:05:02 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
23 Aug 2016 16:05:25 : LimitlessMc, botchat, Akinci#5072, na he is lying le
23 Aug 2016 16:05:30 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
23 Aug 2016 16:05:42 : LimitlessMc, botchat, Akinci#5072, ;luck
23 Aug 2016 16:05:42 : LimitlessMc, botchat, Botfuzzy77#2209, Akinci's luck is 96.31 out of 100, which is **AMAZING**
23 Aug 2016 16:05:58 : Cipher, general, Akinci#5072, Hai
23 Aug 2016 16:07:32 : Cipher, general, Akinci#5072, And cala is just ignoring pff
23 Aug 2016 16:07:46 : Cipher, general, Akinci#5072, Oh she is offline
23 Aug 2016 16:07:49 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Online!
23 Aug 2016 16:09:49 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Offline!
23 Aug 2016 16:13:21 : PassionMC, general, Botfuzzy77#2209, **Lucario**(Owners) is now Online!
23 Aug 2016 16:13:22 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
23 Aug 2016 16:13:22 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
23 Aug 2016 16:15:20 : PassionMC, general, Botfuzzy77#2209, **Lucario**(Owners) is now Offline!
23 Aug 2016 16:15:34 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Gilles**(Nazi) is now Online!
23 Aug 2016 16:16:35 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Offline!
23 Aug 2016 16:16:40 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
23 Aug 2016 16:17:18 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **jolo**(No Role) is now Online!
23 Aug 2016 16:19:32 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Offline!
23 Aug 2016 16:20:18 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
23 Aug 2016 16:20:39 : Cipher, general, Akinci#5072, ;words
23 Aug 2016 16:21:02 : Cipher, general, Akinci#5072, Oh botfuzzy doesnt have that
23 Aug 2016 16:22:25 : League Of Legends, general, Botfuzzy77#2209, **Anarchy**(Officer) is now Online!
23 Aug 2016 16:22:40 : PassionMC, general, Botfuzzy77#2209, **Lucario**(Owners) is now Online!
23 Aug 2016 16:24:17 : League Of Legends, general, Botfuzzy77#2209, **Anarchy**(Officer) is now Online!
23 Aug 2016 16:24:21 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Offline!
23 Aug 2016 16:24:41 : PassionMC, general, Botfuzzy77#2209, **Lucario**(Owners) is now Offline!
23 Aug 2016 16:24:41 : PassionMC, general, Botfuzzy77#2209, **DonTheBreton**(Special) is now Online!
23 Aug 2016 16:25:29 : PassionMC, general, Botfuzzy77#2209, **Mystz**(Owners) is now Online!
23 Aug 2016 16:25:44 : PassionMC, general, Mank#0033, D3 say he not snake le
23 Aug 2016 16:27:18 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
23 Aug 2016 16:27:27 : PassionMC, general, Botfuzzy77#2209, **Mystz**(Owners) is now Offline!
23 Aug 2016 16:27:45 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
23 Aug 2016 16:27:57 : Cipher, general, Wertfuzzy77#0274, I'm working on a more in depth analysis tho
23 Aug 2016 16:28:03 : PassionMC, general, Botfuzzy77#2209, **Dudubidu**(No Role) is now Online!
23 Aug 2016 16:28:03 : Cipher, general, Botfuzzy77#2209, **Dudubidu**(Grunt) is now Online!
23 Aug 2016 16:28:21 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
23 Aug 2016 16:28:45 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
23 Aug 2016 16:29:24 : PassionMC, general, Botfuzzy77#2209, **Mystz**(Owners) is now Online!
23 Aug 2016 16:29:33 : PassionMC, general, Mystz#8072, Oh well
23 Aug 2016 16:31:45 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
23 Aug 2016 16:31:46 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
23 Aug 2016 16:32:05 : PassionMC, general, Botfuzzy77#2209, **Mystz**(Owners) is now Offline!
23 Aug 2016 16:32:44 : Penguins, general, Botfuzzy77#2209, **Survivra**(Deoxys) is now Online!
23 Aug 2016 16:33:24 : PassionMC, general, Botfuzzy77#2209, **Mystz**(Owners) is now Online!
23 Aug 2016 16:34:32 : LimitlessMc, mainchat, DerpyGamer112#6000, wut
23 Aug 2016 16:34:34 : LimitlessMc, mainchat, DerpyGamer112#6000, serve
23 Aug 2016 16:34:45 : LimitlessMc, mainchat, DerpyGamer112#6000, server
23 Aug 2016 16:34:47 : LimitlessMc, mainchat, Survivra#7191, Damn tho many people I know left
23 Aug 2016 16:34:50 : LimitlessMc, botchat, DerpyGamer112#6000, ;server
23 Aug 2016 16:34:53 : LimitlessMc, mainchat, Survivra#7191, *so
