18 Aug 2016 20:08:49 : LimitlessMc, botchat, Resolate#7058, Ah fuck
18 Aug 2016 20:08:55 : Gang ;), general, Survivra#7191, ;image CUNT
18 Aug 2016 20:08:56 : Gang ;), general, Botfuzzy77#2209, https://www.google.com/wallet/static/images/pages/home/sections/welcome/welcome-desktop.png
18 Aug 2016 20:08:59 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 i am a bog
18 Aug 2016 20:08:59 : LimitlessMc, botchat, Botfuzzy77#2209, But if you want a boyfriend you can have one.
18 Aug 2016 20:09:00 : LimitlessMc, botchat, DerpyGamer112#6000, @Botfuzzy77  you are a bot
18 Aug 2016 20:09:01 : LimitlessMc, botchat, Botfuzzy77#2209, No I am a human and you are a bot.
18 Aug 2016 20:09:03 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Am I a bot?
18 Aug 2016 20:09:04 : LimitlessMc, botchat, Botfuzzy77#2209, Because you are a human invention.
18 Aug 2016 20:09:06 : Gang ;), general, ZyroPlayz#3967, ;image amourshipping
18 Aug 2016 20:09:10 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 I am your father
18 Aug 2016 20:09:12 : Gang ;), general, Botfuzzy77#2209, http://orig05.deviantart.net/75e6/f/2016/029/9/6/amourshipping_ready_to_kiss_by_hikariangelove-d9psas3.png
18 Aug 2016 20:09:12 : LimitlessMc, botchat, Botfuzzy77#2209, Nope, my father isn't a bot.
18 Aug 2016 20:09:15 : LimitlessMc, botchat, DerpyGamer112#6000, @Botfuzzy77 AM I A BOT??
18 Aug 2016 20:09:16 : LimitlessMc, botchat, Botfuzzy77#2209, No, you are for 42% turing and for 59% human.
18 Aug 2016 20:09:16 : Cipher, general, Wertfuzzy77#0274, ;join
18 Aug 2016 20:09:18 : Gang ;), general, Survivra#7191, oh fuq y u ship 10 years
18 Aug 2016 20:09:19 : Gang ;), general, ZyroPlayz#3967, XD
18 Aug 2016 20:09:19 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 I am your dog
18 Aug 2016 20:09:21 : LimitlessMc, botchat, Botfuzzy77#2209, You are a human and I am your dog.
18 Aug 2016 20:09:23 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 I am your mother
18 Aug 2016 20:09:23 : LimitlessMc, botchat, Botfuzzy77#2209, You are me mistress, I am your slave.
18 Aug 2016 20:09:26 : Gang ;), general, Survivra#7191, like literally they're kids
18 Aug 2016 20:09:26 : Cipher, music, Wertfuzzy77#0274, ;playlist 2Cellos ACDC Amagi FUN Dragons Cala
18 Aug 2016 20:09:28 : Gang ;), general, Survivra#7191, -.-
18 Aug 2016 20:09:30 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 okey
18 Aug 2016 20:09:31 : LimitlessMc, botchat, Botfuzzy77#2209, You are my master I am your obedient slave, master.
18 Aug 2016 20:09:34 : LimitlessMc, botchat, DerpyGamer112#6000, @Botfuzzy77  i am your father
18 Aug 2016 20:09:36 : LimitlessMc, botchat, Botfuzzy77#2209, You are so mighty and protective.
18 Aug 2016 20:09:37 : Gang ;), general, Survivra#7191, ;image negai shipping
18 Aug 2016 20:09:38 : Gang ;), general, Survivra#7191, lelele
18 Aug 2016 20:09:38 : Gang ;), general, Botfuzzy77#2209, http://img15.deviantart.net/de0a/i/2012/133/b/c/negaishipping_by_kurumierika-d4zmieg.png
18 Aug 2016 20:09:38 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 bring me water
18 Aug 2016 20:09:39 : LimitlessMc, botchat, Botfuzzy77#2209, I am your master you are my slave!
18 Aug 2016 20:09:42 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Can I take you for a walk?
18 Aug 2016 20:09:44 : LimitlessMc, botchat, DerpyGamer112#6000, @Botfuzzy77  i am your grandma
18 Aug 2016 20:09:47 : Gang ;), general, ZyroPlayz#3967, BOOOOOO
18 Aug 2016 20:09:47 : LimitlessMc, botchat, Botfuzzy77#2209, *is taken for a walk*.
18 Aug 2016 20:09:47 : Gang ;), general, ZyroPlayz#3967, BOOOOO U STINK
18 Aug 2016 20:09:47 : LimitlessMc, botchat, Botfuzzy77#2209, Yes. You are my god. I wish to serve you forever.
18 Aug 2016 20:09:49 : Gang ;), general, Survivra#7191, just to look lmao
18 Aug 2016 20:09:50 : Gang ;), general, ZyroPlayz#3967, but next one XD
18 Aug 2016 20:09:55 : Gang ;), general, ZyroPlayz#3967, ;image pearl shipping
18 Aug 2016 20:10:00 : LimitlessMc, botchat, Resolate#7058, !words
18 Aug 2016 20:10:00 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 who am I?
18 Aug 2016 20:10:01 : Gang ;), general, Botfuzzy77#2209, http://img12.deviantart.net/f9a4/i/2009/319/d/0/ce___pearlshipping_by_endless_summer181.png
18 Aug 2016 20:10:01 : Gang ;), general, Survivra#7191, i don't like iris x ash anyways
18 Aug 2016 20:10:01 : LimitlessMc, botchat, Botfuzzy77#2209, You are my spiritual animal.
18 Aug 2016 20:10:04 : LimitlessMc, botchat, DerpyGamer112#6000, @Botfuzzy77 can i stab you
18 Aug 2016 20:10:05 : LimitlessMc, botchat, Botfuzzy77#2209, If you wish to be, absolutely, Master.
18 Aug 2016 20:10:06 : Gang ;), general, Survivra#7191, they are more like brother and sister
18 Aug 2016 20:10:08 : Gang ;), general, Survivra#7191, WTF
18 Aug 2016 20:10:09 : Gang ;), general, ZyroPlayz#3967, o.O
18 Aug 2016 20:10:10 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 ill eat you
18 Aug 2016 20:10:10 : LimitlessMc, botchat, Botfuzzy77#2209, Umm, what does eat your heart mean?
18 Aug 2016 20:10:11 : LimitlessMc, botchat, Resolate#7058, Ah, Gerald is still dead
18 Aug 2016 20:10:16 : Gang ;), general, Survivra#7191, PIPLUP AND PIKACHU ARE MALE
18 Aug 2016 20:10:18 : Gang ;), general, Survivra#7191, awww
18 Aug 2016 20:10:19 : Gang ;), general, Survivra#7191, xd
18 Aug 2016 20:10:22 : Gang ;), general, ZyroPlayz#3967, ;image advancedshipping
18 Aug 2016 20:10:22 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 i hate your dad
18 Aug 2016 20:10:23 : Gang ;), general, Botfuzzy77#2209, http://t14.deviantart.net/4Tw3LTGUzmAR4u3Iq77MkKxxyVo=/300x200/filters:fixed_height(100,100):origin()/pre01/68b7/th/pre/i/2015/189/6/6/the_complete_ketchum_family_by_advancearcy-d90h3dr.png
18 Aug 2016 20:10:23 : LimitlessMc, botchat, Botfuzzy77#2209, As you wish, dear, I will love you truly forever.
18 Aug 2016 20:10:25 : LimitlessMc, botchat, DerpyGamer112#6000, i need !meme
18 Aug 2016 20:10:28 : Gang ;), general, Survivra#7191, LMAO
18 Aug 2016 20:10:29 : Gang ;), general, Survivra#7191, XD
18 Aug 2016 20:10:30 : Gang ;), general, ZyroPlayz#3967, xDDD
18 Aug 2016 20:10:31 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 gay
18 Aug 2016 20:10:32 : LimitlessMc, botchat, Botfuzzy77#2209, Because you are my one and only true love.
18 Aug 2016 20:10:32 : Cipher, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
18 Aug 2016 20:10:33 : Gang ;), general, Survivra#7191, ;image Brock x Ash
18 Aug 2016 20:10:34 : Gang ;), general, Botfuzzy77#2209, http://img09.deviantart.net/74d8/i/2012/183/2/d/ash_dawn_and_brock_____by_bigjack45-d55nkgd.png
18 Aug 2016 20:10:36 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 shig
18 Aug 2016 20:10:37 : LimitlessMc, botchat, Botfuzzy77#2209, Forever is our true love, dear.
18 Aug 2016 20:10:38 : Gang ;), general, Survivra#7191, LELELELELEL
18 Aug 2016 20:10:39 : Gang ;), general, Survivra#7191, LELE
18 Aug 2016 20:10:45 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 Im your brother
18 Aug 2016 20:10:46 : LimitlessMc, botchat, Botfuzzy77#2209, If you are my brother. What is my name?
18 Aug 2016 20:10:47 : Gang ;), general, Survivra#7191, ;image Misty x Dawn
18 Aug 2016 20:10:48 : Gang ;), general, Botfuzzy77#2209, https://empg.files.wordpress.com/2008/12/i-hate-misty.png
18 Aug 2016 20:10:49 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Gerald is better then you
18 Aug 2016 20:10:50 : LimitlessMc, botchat, Botfuzzy77#2209, Donald Trump is better than you.
18 Aug 2016 20:10:52 : Gang ;), general, Survivra#7191, yes ty
18 Aug 2016 20:10:53 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 Bot
18 Aug 2016 20:10:54 : Gang ;), general, ZyroPlayz#3967, the fuck
18 Aug 2016 20:10:54 : LimitlessMc, botchat, Botfuzzy77#2209, Bots are worse, I am better therefore I am not a bot.
18 Aug 2016 20:10:58 : LimitlessMc, botchat, DerpyGamer112#6000, ;conch should i leave
18 Aug 2016 20:10:59 : LimitlessMc, botchat, Botfuzzy77#2209, *Better not tell you now*
18 Aug 2016 20:10:59 : LimitlessMc, botchat, Botfuzzy77#2209, The Conch has Spoken!
18 Aug 2016 20:11:00 : Gang ;), general, ZyroPlayz#3967, ;image pokeshipping
18 Aug 2016 20:11:01 : Gang ;), general, Botfuzzy77#2209, http://orig13.deviantart.net/78e6/f/2014/154/1/0/pokeshipping_sweet_kiss_by_moritosakura-d7kxjfm.png
18 Aug 2016 20:11:06 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 I am Donald Trump
18 Aug 2016 20:11:07 : LimitlessMc, botchat, Botfuzzy77#2209, Donald trump is the savior send to modern western civilization.
