20 Jul 2016 02:42:48 : 02Gaming, general, Botfuzzy77#2209, **LightShadow**(Guide) is now Online!
20 Jul 2016 02:42:53 : Cipher, general, Calamariela#7098, i think @Tophwalt4life can do it
20 Jul 2016 02:42:53 : 02Gaming, general, Botfuzzy77#2209, **LightShadow**(Guide) is now Offline!
20 Jul 2016 02:43:37 : Cipher, general, Skyd#9935, I just want to finish the battle factory -.-
20 Jul 2016 02:43:48 : Cipher, general, Kburn1999#5526, what is that anyway
20 Jul 2016 02:44:26 : Cipher, general, Calamariela#7098, does the pokedex server eve exist?
20 Jul 2016 02:44:45 : Cipher, general, Skyd#9935, You and your opponent give me 3 numbers ranging from 1-30 and then those numbers correlate to the 3 random Pokemon you will be given 
20 Jul 2016 02:44:55 : Cipher, general, Kburn1999#5526, ah
20 Jul 2016 02:44:57 : LimitlessMc, mainchat, Botfuzzy77#2209, Welcome @hollowminer to LimitlessMc!
20 Jul 2016 02:45:02 : Cipher, general, Skyd#9935, So we could hold mini tourneys 
20 Jul 2016 02:45:14 : Cipher, general, Skyd#9935, It's like mini random battles 
20 Jul 2016 02:45:16 : LimitlessMc, mainchat, hollowminer#7828, well wats up?
20 Jul 2016 02:45:24 : Cipher, general, Kburn1999#5526, and its pokemon u lvled ?
20 Jul 2016 02:45:37 : The Pleb Privateers, general, enragednuke#2565, ?tag joe
20 Jul 2016 02:45:39 : The Pleb Privateers, general, enragedrobo#6009, @Joe by Joelight #xpwaste
20 Jul 2016 02:45:46 : Cipher, general, Skyd#9935, Yeah all 50's and lvl locked 
20 Jul 2016 02:45:50 : Cipher, general, Kburn1999#5526, nice
20 Jul 2016 02:46:10 : Cipher, general, Kburn1999#5526, and they get banned for stealing most likely
20 Jul 2016 02:46:24 : Cipher, general, Skyd#9935, Yeah but we will now if they steal anyways 
20 Jul 2016 02:46:51 : Cipher, general, Skyd#9935, And I'll have 3 of there Pokes anyways so it gives a reason to give the Pokemon back 
20 Jul 2016 02:47:02 : Cipher, general, Kburn1999#5526, ah
