09 May 2017 22:54:45 : RooberBoobers, kinkyrubiestalk, ComradeBismuth#5997, Mybe if we did some more kinky role play, we'd get this group back from death for a fe minutes at least?
09 May 2017 22:55:03 : RooberBoobers, kinkyrubiestalk, DicloniusPony#6564, @Gutsy no one even rps anymore XD
09 May 2017 22:55:11 : memes, general, Max#4148, 🍼
09 May 2017 23:16:44 : LimitlessMc, voice-junk, Wertfuzzy77#0274, ;forceplay https://www.youtube.com/watch?v=9AFwXYToe2I
09 May 2017 23:16:44 : LimitlessMc, voice-junk, Botfuzzy77#2209, The Bot isnt connected in this server!
09 May 2017 23:16:47 : LimitlessMc, voice-junk, Wertfuzzy77#0274, ;join
09 May 2017 23:16:47 : LimitlessMc, voice-junk, Botfuzzy77#2209, Connected channel!
09 May 2017 23:16:50 : LimitlessMc, voice-junk, Wertfuzzy77#0274, ;forceplay https://www.youtube.com/watch?v=9AFwXYToe2I
09 May 2017 23:17:28 : LimitlessMc, voice-junk, Wertfuzzy77#0274, ;forceplay https://www.youtube.com/watch?v=IKpXJ4Ipvo0
09 May 2017 23:21:32 : LimitlessMc, mainchat, Third_Worm#4804, @Crystal4209 boooiii i was at work
09 May 2017 23:24:47 : LimitlessMc, mainchat, Crystal4209#4698, Boiiiiiii
09 May 2017 23:24:58 : LimitlessMc, mainchat, Crystal4209#4698, I got a tired pupper xD
09 May 2017 23:25:31 : LimitlessMc, mainchat, Crystal4209#4698, @Third_Worm I got reading naplan today, for an hour send hep!!
09 May 2017 23:26:48 : LimitlessMc, botchat, Crystal4209#4698, ;train
09 May 2017 23:26:50 : LimitlessMc, botchat, Botfuzzy77#2209, 
09 May 2017 23:26:52 : LimitlessMc, botchat, Botfuzzy77#2209, 
09 May 2017 23:27:55 : LimitlessMc, mainchat, Crystal4209#4698, @Third_Worm I also haven't gotten to talk to you!!
09 May 2017 23:29:56 : Alone Server, bot_chat, Crystal4209#4698, ;join
09 May 2017 23:29:58 : Alone Server, bot_chat, Botfuzzy77#2209, Connected channel!
09 May 2017 23:30:28 : Alone Server, bot_chat, Crystal4209#4698, ;search pokemon battles soundtracks
09 May 2017 23:30:31 : Alone Server, bot_chat, Botfuzzy77#2209, Added Pokemon All Wild Battle Themes OST [HD] to the queue
09 May 2017 23:30:31 : Alone Server, bot_chat, Botfuzzy77#2209, https://www.youtube.com/watch?v=sH1uHBwfRcA
09 May 2017 23:31:25 : LimitlessMc, mainchat, Crystal4209#4698, Damn its cold out today
