10 May 2017 16:28:45 : LimitlessMc, botchat, Wertfuzzy77#0274, ;music
10 May 2017 16:28:47 : LimitlessMc, botchat, Botfuzzy77#2209, 
10 May 2017 16:28:50 : LimitlessMc, botchat, Wertfuzzy77#0274, ;songs
10 May 2017 16:28:52 : LimitlessMc, botchat, Botfuzzy77#2209, 
10 May 2017 16:30:46 : Shadow's Subnautica, botchat, Lastshadow#5809, Noooo
10 May 2017 16:30:48 : Shadow's Subnautica, botchat, Lastshadow#5809, :-;
10 May 2017 16:31:27 : Shadow's Subnautica, botchat, Lastshadow#5809, ;search pokemon Ranger guardian signs legendary theme
10 May 2017 16:31:29 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Added Pokémon Ranger: Guardian Signs - Legendary Pokémon Encounter! to the queue
10 May 2017 16:31:29 : Shadow's Subnautica, botchat, Botfuzzy77#2209, https://www.youtube.com/watch?v=2xrI8AyoDwE
10 May 2017 16:31:57 : Shadow's Subnautica, botchat, Lastshadow#5809, ;search pokemon Ranger guardian signs boss theme
10 May 2017 16:31:58 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Added Pokémon Ranger Guardian Signs - Boss Capture Music EXTENDED to the queue
10 May 2017 16:31:59 : Shadow's Subnautica, botchat, Botfuzzy77#2209, https://www.youtube.com/watch?v=NixhimcffAg
10 May 2017 16:33:55 : LimitlessMc, botchat, jjtwilefc#7374, .join
10 May 2017 16:33:55 : LimitlessMc, botchat, jjtwilefc#7374, .search Eminem deja vu
