20 Sep 2016 21:30:53 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
20 Sep 2016 21:31:48 : Cipher, general, Wertfuzzy77#0274, ;skip
20 Sep 2016 21:31:48 : Cipher, general, Botfuzzy77#2209, Skipping Nick Jonas - Close ft. Tove Lo
20 Sep 2016 21:32:45 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Cat**(Children of The Raw Man) is now Online!
20 Sep 2016 21:35:05 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Online!
20 Sep 2016 21:37:05 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Offline!
20 Sep 2016 21:37:43 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Online!
20 Sep 2016 21:38:33 : Cipher, general, Botfuzzy77#2209, **Es Fusel**(Grunt) is now Offline!
20 Sep 2016 21:40:06 : Cipher, general, Botfuzzy77#2209, **Es Fusel**(Grunt) is now Online!
20 Sep 2016 21:42:19 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Offline!
20 Sep 2016 21:43:00 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Daniel**(Children of The Raw Man) is now Online!
20 Sep 2016 21:45:52 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
20 Sep 2016 21:45:52 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
20 Sep 2016 21:45:54 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
20 Sep 2016 21:47:23 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Online!
20 Sep 2016 21:48:12 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Daniel**(Children of The Raw Man) is now Offline!
20 Sep 2016 21:49:23 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Offline!
20 Sep 2016 21:49:43 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
20 Sep 2016 21:58:39 : My Personal Server, general, Botfuzzy77#2209, **Twist3dMindz**(Member) is now Online!
20 Sep 2016 22:00:33 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
20 Sep 2016 22:00:39 : The Wild Weeaboos, general, Tally#2764, this raid is fun
20 Sep 2016 22:00:55 : The Wild Weeaboos, general, enragednuke#2565, rofl
20 Sep 2016 22:01:00 : The Wild Weeaboos, general, enragednuke#2565, on heroic?
20 Sep 2016 22:01:02 : The Wild Weeaboos, general, enragednuke#2565, or normal
20 Sep 2016 22:03:06 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
20 Sep 2016 22:03:06 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
20 Sep 2016 22:04:20 : Cipher, general, Botfuzzy77#2209, **Es Fusel**(Grunt) is now Offline!
20 Sep 2016 22:04:36 : The Wild Weeaboos, general, Tally#2764, hero
20 Sep 2016 22:04:36 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
20 Sep 2016 22:04:43 : The Wild Weeaboos, general, enragednuke#2565, welll fuckin duh
20 Sep 2016 22:04:46 : The Wild Weeaboos, general, enragednuke#2565, heroic is actually hard
20 Sep 2016 22:04:47 : The Wild Weeaboos, general, enragednuke#2565, u idioto
